s.no;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
19006;34;Bottoms;Jeans;1025;1;5;1;These are my favorite jeans i've bought in the past year! they're the perfect length for booties, i love the rise, and the denim feels amazing- so soft. mine haven't stretched more than a normal jean (in fact they may have stretched less than others i've had), and i can wear then multiple times before washing with their shape being in tact.
19121;50;Bottoms;Jeans;1025;1;5;1;Great jeans in a lovely shade of grey. they are longer than shown in the picture, however, which i love. i haven't worn mine yet, and i wonder how stretched out they'll get, but overall the fit is quite flattering.
19186;47;Bottoms;Jeans;1025;5;5;1;I'm 5'1 and 110 pounds and i ordered the 26 petite. the jeans are fabulous...flattering....comfortable...i could go on and on. the fabric is super soft and the fit hugs in all the right places. it is a nice flare bottom. i will have to wear these with heels or wedges, they are too long for flats.
19305;37;Bottoms;Jeans;1025;1;5;1;I love these jeans. they are flattering and don't sag after wearing them for a hour or two. they look great with flats or booties.
19377;60;Bottoms;Jeans;1025;0;5;1;I love all paige denim. i have the flared which i purchased in july and now the skinny. i got the zara ones last year which are a copy obviously and they are just not the same. the ones last year the paige sierra sold out fast but luckily these are here. i actually like these more because they are more worn looking. you can even wear a pretty top underneath to enhance them.
19394;59;Bottoms;Jeans;1025;0;4;1;Right on trend, easy to wear, but a bit snug in waist. which the vendor gave item specific sizing to make the selection of the size a bit easier.
19488;24;Bottoms;Jeans;1025;1;5;1;I love, love, love these jeans! they fit like a dream and the fabric is so soft and giving. the waist comes up higher and stays snug, which means no muffin top. plus they look awesome! i truly hope paige comes out with more like this!!
19534;62;Bottoms;Jeans;1025;0;5;1;"I was looking for a pair of ankle jeans to wear with booties. i love my regular length paige hoxton jeans but they are too long me (5'4"" 120) if i want to wear booties. i decided to try the petite size and.... perfecto!!! just the right length and the rest of the fit was just like my other paige jeans. i love when you can count on sizing to stay true across styles."
19913;43;Bottoms;Jeans;1025;2;5;1;Super soft and flattering fit. i'm 5 feet 4 inches and petite was the perfect length.
20022;45;Bottoms;Jeans;1025;0;5;1;A sales associate handed these to me while i was trying other things on. i had never tried the hoxton before. i have found my perfect black jean! they are so comfortable and they don't stretch out like others i have tried.  i am 5'4 and i roll them a few times but i like that look. i am usually a 25 and that is what i took in these.
20054;65;Bottoms;Jeans;1025;0;5;1;"I was lucky to get these on sale with free shipping(my major lucky shopping moment of the year); however, they are worth every penny of the full price. i've waited years before shelling out this much for a pair of nice jeans, but now my skeptical opinion has done a 180 turn. these paige verdugo ultra skinny jeans are superior to any denim i've ever tried. they look and feel fabulous on me. i bought my usual 29/size 6 and am 5'1"", 130#."
