s.no;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
800;34;Tops;Blouses;815;0;5;1;Love this top! pretty details and true to size fit!
632;60;Tops;Blouses;815;1;5;1;Very soft color and soft to touch. the material is light and airy and it feels great on. i wear a medium and bought the small. i would definitely buy this in another pattern if they made it as cute as the flamingos.
1096;25;Tops;Blouses;815;0;3;0;"The lace on this top is pretty, and i liked the way it was styled in the product photos, but did nothing for me on. between the loose sleeves and the boxy cut of the front, it just sort of hung shapelessly on me. i also found the back to be much shorter than 30.5""--it came to a few inches below my hips and was not tunic length like i expected. the shoulders fit me well, and because the top was boxy already, i didn't want to size up for length. for reference i tried on xs (i'm 5'4"", 120 lbs)."
1838;37;Tops;Blouses;815;0;5;1;I really love this top! it is soft, lightweight, and really pretty. it has quickly become one of my favorites!
2617;63;Tops;Blouses;815;0;2;0;This bunches up too much, and the fabric is even more see through than i expected (so even with a tank top under it, it's not a good look for work). even unbuttoned at the top, i could barely get this over my head!  this one is going back.
2977;42;Tops;Blouses;815;25;5;1;"I reserve my 5 star reviews for products that are made well, are a good value and have great style. this is one of those rare gems!

the top is just beautiful in person. very lightweight, almost voile-like cotton, so soft and drapey (and yes, you will need a base layer, it's meant to be very sheer) and the crochet and lace insets all over the top are stunning. 

the fit is somewhere between tts and slightly oversized, but the shoulders are pretty tts which means it avoids looking like you're"
3562;36;Tops;Blouses;815;0;5;1;Love the top! it fits perfectly. i was a bit worried it would look like a pregnancy top on me as i'm a 34dd, but it doesn't. i've received many compliments on the top, its incredibly well made and has beautiful detailing. it is sheer so you'll need something under. the material is quite light as well which is nice.
4227;37;Tops;Blouses;815;0;4;1;"This top was different than what i normally wear but based on good reviews i purchased. i really love it. it is different than i thought it would be. i thought it was longer sleeves but it is just above the elbow. definitely need a tank or something underneath as it is see through and the sleeve holes are quite large. 
definitely recommend."
4277;72;Tops;Blouses;815;2;4;1;I ordered this shirt to wear with a pair of pants that i had to return - which is one reason the top went back as well. it really is cute and i like the exaggerated key hole in the back. i certainly could have found other things to pair with this top, but it came down to the price. i just didn't think it said $118. hopefully its still around when it goes on sale. its very cute. fits true to size.
4742;43;Tops;Blouses;815;14;5;1;A swing top by tiny done right. this is a well made top that fits in all the right places, no gapping arm pit! the fabric has a design in it and i think this is a blouse that can be worn all year. the blouse does run large and depending on the chest size, you may have to go down two sizes. i went for the large at first just because swing tops are so short but realized i would need a medium and the length was still perfect. it did not flare out to where you looked like an expectant mother.
4796;66;Tops;Blouses;815;0;5;1;This is truly a beautiful top. the beading and lace are subtle, but add such a special, feminine touch. i love the breezy, swingy shape. very flattering. this is one item i will be sure to treasure for years to come. love!!
5147;26;Tops;Blouses;815;0;3;1;Like the previous reviewer, the biggest problem with this shirt is how short it is. i'm 5'4 and ordered a 12, which is usually what i wear at retailer. even only being 5'4, this shirt is much shorter than i anticipated. it fits everywhere else, though. i'm obsessed with the back so i'm going to keep it and wear it. i'd say it's worth it at the sale price.
5785;68;Tops;Blouses;815;0;4;1;"This blouse is very pretty, but the overlap in the front is a little ""strange."" it seems to fall open and will require either a pretty pin to hold it closed or a cami underneath. despite that ""flaw"" i am glad that i purchased this blouse. the trim at the shoulders gives it a romantic and special appeal."
5855;31;Tops;Blouses;815;0;5;1;I love the style and quality of this blouse. it can easily be dressed up or down. the blouse is completely see through and delicate. still, it is so romantic, feminine, distinctive and timeless.
6130;41;Tops;Blouses;815;6;5;1;I feel like i have a lot of blouses like this so it really needed to wow me to keep it. and while it is lovely, well made and very pretty and delicate...i just didn't feel like it was anything special. if you don't have a blouse like this, then it is a great find. but it is nothing super out of the ordinary... fit i feel is tts...i am in between a m and l...i ordered the l. lots of room in the body although i didn't like where the arms hit on me. they aren't wrist length but they aren't mid-fore
6203;31;Tops;Blouses;815;8;3;0;I had such high hopes for this top. it is beautiful but it is very uncomfortable! the lace/beadwork is extremely itchy. the button at the neck seems cheap and i was worried it would fall off. the beadwork and lace puckered on my shoulders making the fit off for me.
6379;52;Tops;Blouses;815;7;5;1;"I'm 5' 0"" and 120 pounds. this top is beautiful. it's high neck is so flattering. a nice switch it up for us gals that are older and like neck coverage sometimes. i purchased a small and it is a little longer, but since it has elastic at the waist it's no problem. i will tuck it in my jeans and skirts. the arm holes are perfect. the as far as it being a lot of blouse, i didn't find that at all. but i am busty, 34c or d depending on brand of bra. the color is ivory. omits completely sheer, no lin"
6480;25;Tops;Blouses;815;0;1;0;I own two poodles and love anything poodle print. i was estatic to see this and i snagged it on sale. but it is horrible. the fit is like wearing a pillowcase. it was about 5 inches too wide on each side while the arms fit. it looked like it was attempting to have a dolman shape but it was way too short, wide, and wrong. i was in love with the print however i had to return it.
6967;52;Tops;Blouses;815;10;4;1;This is a beautiful blouse but it's gigantic. my bra size is 34d and i was swimming in a 2. the bust measured 42 inches at it's widest point. you can see the model is camouflaging the volume by holding her arms to the side. the fabric is pulled in an unatural way so the top is probably pinned for the photo. if you want this look go down 2 sizes. that much fabric is just not flattering on me so i am returning to the store. i'm passing on the 0 because the thin fabric seems like it will seriously
7030;64;Tops;Blouses;815;1;5;1;I just received this blouse and love it...more beautiful in person..i got the black one in a petite and it is perfect...if you want it longer in the front order a regular.
7995;37;Tops;Blouses;815;6;3;0;Beautiful victorian look blouse. runs large and overly blousy on me.
8457;55;Tops;Blouses;815;0;4;1;
8478;55;Tops;Blouses;815;1;5;1;This top is really pretty and nice quality. runs big - i went down a size, and its perfect. coloring is more subtle in person than in the photo.
8482;45;Tops;Blouses;815;0;5;1;The top is gorge, it may look somewhat slouchy but it falls perfect and looks great, especially the navy color with white jeans. i liked it so much i ordered the ivory color too. beware the quality of this top is extremely delicate and if you don't want it to snag, do not wear a bracelet that can snag it.
9338;43;Tops;Blouses;815;2;5;1;I love this top! it's very delicate and pretty. flattering cut. the fabric is sheer, so wear with a cami or a pretty bra.
9970;66;Tops;Blouses;815;2;3;1;Ordered navy in a medium and it is wide. sometimes that's a good thing, but not this time. am short waisted and hoped this would be more fitted at the waist on me but it isn't. it just looked frumpy with lots of see through parts. obviously it needs a cami but wasn't attractive on me at all. seemed well made and probably better on someone taller.
11740;60;Tops;Blouses;815;0;3;1;I thought the quality of the fabric was good and liked the idea of wearing it, either with opening in front or back. it was a little larger then i was expecting and i wish it had a closure, (hook and eye or snap) at the top. it has three places in the back to tie together and when i tied them in a bow they came loose easily. overall glad i bought it.
11875;85;Tops;Blouses;815;0;3;1;"Wish someone warned of the navy one being not as pictured!! i ordered the navy because the crocheted part appeared to be more intricate than the ivory. in reality the navy knit is just like the ivory. it seems well made but very delicate. i'm not a fan of tops (especially pricey ones) that require a camisole but this top is a very ""retailer"" piece so most likely i will keep it, just a bit disappointed."
12783;34;Tops;Blouses;815;2;5;1;"I tried this on in the ivory color because it was on sale and i thought it ""might"" be sort of cute. a comfy, flowy, warmer to cooler weather transition top. little did i know how much i would fall in love with it! i tried it on over like 3 things in the fitting room, including a black strapless maxi dress i wore into the store, and it still looked great! it is comfortable, loose, and goes with pretty much anything (i've tried and still haven't found anything it looks bad over). it's not super dr"
13390;62;Tops;Blouses;815;0;5;1;The blouse is absolutely beautiful. i am 5' and the length is perfect. even though it fit a little snug across the chest, it's a keeper. i'll wear it open on the top with a nice cami underneath.
13557;40;Tops;Blouses;815;2;5;1;This blouse is made out of a high-quality material, flows beautifully, and the neutral flower pattern makes its yellow/green base pop. i played with a bow and decided that it looks the best tied lower than on the model to form v shaped neckline. this piece will transition easily from one season to the next and from causal to dressy. for the reference, size 12 was the best fit form my curvy 36dd frame.
14022;54;Tops;Blouses;815;0;2;0;This top is really cute and i love the design. however, the first time i wore it, the waste band started unraveling.
14313;41;Tops;Blouses;815;0;4;1;Cute, simple top that completes an outfit all on it's own. it is pricey but i finally took the plunge and bought it.
14772;50;Tops;Blouses;815;0;5;1;I love, love, love this top! it is beautiful and very unique. the first day i wore it i got so many compliments! highly recommend!
15726;39;Tops;Blouses;815;0;4;1;Love the way this top layers under my jackets and sweaters! so romantic and pretty. i am not experiencing the over pouf at the waist that a previous reviewer complained about. the fabric is slightly itchy and the top shipped to my house has misshapen shoulder bumps from the store hanger. all the beautiful styling pics done by retailer employees on ig is what made me want this blouse. whatever is going on with the model shot really really really does not represent how cute this top looks. in fact,
16394;27;Tops;Blouses;815;1;5;1;I love this top! i typically wear a size small and this is very true to size. it's loose fitting but does not make you look large. the pattern on the material is also fun without being too busy. perfect for fall!
17252;38;Tops;Blouses;815;6;5;1;This top runs a tad big. it's beautiful in person and sooooo soft. definitely an retailer staple top. material and cut is great
17387;43;Tops;Blouses;815;5;3;0;Pretty top online - okay in person. runs small, especially on bottom hemline. thought it would have a swing to it. it does not. more sheer in person than i thought it would be. that wouldn't stop me from keeping it though. it was the way it laid on my chest that was unflattering. looked like i was wearing a bib. i don't have a large chest, just weird look on me. unfortunate, because it is an adorable print. top made for thinner or a petite lady.
18460;34;Tops;Blouses;815;3;5;1;I bought this top in my usual size in a small. i'm a 34 d 26 waist. i absolutely love it. i pair it with a red cardigan. very cute.
18644;47;Tops;Blouses;815;0;5;1;"I got this in black and have no issue wearing a solid black bra under it. i felt it ran a little big. i'm a 34dd and usually have to wear a medium due to the ""girls"" but a small fit me and fit well. i didn't find it boxy and it fit me perfectly in the shoulders. i paid full price but i loved it so much i didn't mind. the sale price is amazing!"
18676;49;Tops;Blouses;815;0;5;1;I tried this on at the store - the fuzzy trim around the bib is adorable and the overall texture with little puffs woven into the fabric has a nice quality feel to it. the pattern of flamingos is fun and the fabric is soft. it does run on the big and flowy side. i thought it was very cute and comfy but ultimately did not buy it because the price is rather high and the petite length is sold out. i'll snap it up if it goes on sale.
18855;53;Tops;Blouses;815;4;5;1;I just saw this vintage style blouse at my local store and tried it and think this blouse is amazingly beautiful! it's actually very well made and a tad heftier than i imagined from the picture. there's different strips of gorgeous lace all over including that amazing lace at the collar and bib, the arm holes are just perfect in my regular size small (34d-27-35) so it runs tts and i didn't find this overly blousy myself though that's just part of its charm. you'll need an undershirt or something
18899;24;Tops;Blouses;815;1;3;1;Runs a little small in the shoulders/bust
19752;73;Tops;Blouses;815;2;5;1;Only worn this once but had multiple compliments! such a cute pattern and style. only complaint is wish they would have done the sides with a split. it kind of wants to hug the hips and then be too wide in the middle. still, love it!
20179;47;Tops;Blouses;815;2;3;0;This may be lovely on some people but it didn't work on me at all. i thought it would have some swing to it but the bottom hem was tight. if i had gone up a size, the top would have been huge. the bib wasn't flattering on me and it's also quite sheer. too bad because the print is great. maybe if you're athletic with slim hips you can manage it. i think if you are busty this could look like maternity wear on you. back it went, sadly.
20265;35;Tops;Blouses;815;0;5;1;
21626;31;Tops;Blouses;815;0;5;1;I love this top, the detail and embroidery make it great for during the day or at night. the small fits me perfect and i don't wear it with a camisole like some have mentioned, but might if i wore it to work
21702;41;Tops;Blouses;815;4;3;0;I love the lacey design of this top. however, it is very wide and doesn't fit well on someone with a small frame. i tried ordering a petit size. the width was better, but this size was too short. in addition, the lace didn't lay very flat, and there were lose threads all over. overall, not worth the price.
