s.no;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
13155;49;Intimate;Intimates;757;3;5;1;"This is a great layering piece. got in orange color and it is really a beautiful shade. i am 5'3"" 36dd and went with a m. very flowy, nice length (more on the short side), and not see through. i am able to wear without a bra, where the ruffles cover any possible chance of seeing anything ;). i have a black came from another brand and have literally worn it to pieces. goes well under a jacket for work, a kimono, wrap, denim jacket, just anything! i was a bit disappointed it is ""dry clean only"", h"
8034;61;Intimate;Intimates;758;0;1;0;Material is strange. triangle top is funky. this is just not awesome in any way.
941;52;Intimate;Intimates;760;0;5;1;True to size, very pretty.  as pictured expect that it is more peachy and not this light.  i like it and will keep it but just be aware that it is not a pale pink as in the picture.
6201;60;Intimate;Intimates;760;0;5;1;I ordered  flora nikrooz for my daughter for her wedding.  it is beautiful. the delivery was quick!!! very happy.
8317;44;Intimate;Intimates;767;0;5;1;"Bought the black xs to go under the larkspur midi dress because they didn't bother lining the skirt portion (grrrrrrrrrrr).
my stats are 34a-28/29-36 and the xs fit very smoothly around the chest and was flowy around my lower half, so i would say it's running big.
the straps are very pretty and it could easily be nightwear too.
i'm 5'6"" and it came to just below my knees."
22923;33;Intimate;Intimates;767;0;4;1;Absolutely wonderful - silky and sexy and comfortable
10830;27;Intimate;Intimates;773;0;5;1;This bra is very cute and pretty comfortable. i usually wear between a 34d in elle mcpherson and this fit perfect. i got it in black and while it's really cute i was surprised how different the color looked in person vs. online. online it looked to me to have some purple to it, but it is definitely 100% black in person (just an fyi). i also thought the tassel was cute, but it does look a little cheap and flimsy in person. still a great bra.
3138;37;Intimate;Intimates;798;0;5;1;"I ordered size small. i am 5' 6"", 32 b. the fabric is super soft and the fit is great. there's an adorable little quote on the pantie's lining, and the bra has a beautiful print on its inner lining. the feel of the lace and fabric is divine. love it! one more thing to note...there is very little lining in the bra; really nothing more than an extra layer of fabric. it is enough to protect modesty, but not much else."
7844;64;Intimate;Intimates;799;8;5;1;I decided to order both the black & sand colors in the m/l. very soft & fit is perfect. has adjustable straps. wore under my racerback tank today for my usual walk. the bra & straps were not exposed. it did not rub or irritate at all. it will work well under other tops i have & some dresses that are racerback style. i have other racerback bras but they just haven't worked out - either too uncomfortable or the straps show anyways. this one is perfect! it's soft & lightweight. it has some moderate
19673;47;Intimate;Intimates;800;0;4;1;I bought this in my usual size small.  it is really light and airy--very pretty.  as the other reviewer noted, it is longer in front and shorter in the back.  the back hit my waistband, as it does on the model in the picture.  it hid my bra very well (always a plus).  i wouldn't describe the fabric as soft and i did get a static electricity issue, but the top stayed put.  overall, very pleased.
20726;29;Intimate;Intimates;800;1;4;1;Cute layered cami. great colors for summer or fall. very light fabric, tends to get a bit staticy. shorter in the back than expected but a good versatile top
3031;21;Intimate;Intimates;807;2;5;1;"I purchased this sweet little cami in all three colors (the black for some reason only available to order in store). the fabric is luxurious and smooth to the touch! i've purchased other silk shells by eloise and would say this one runs small. i'm 5'2"" 125lbs 34c and and typically wear an xs at retailer. this tank was too tight in the chest and i sized up to a small which fixed the problem. i can't wait to make my jeans and bomber jackets for fall just a little more special with these babies!"
5774;39;Intimate;Intimates;807;0;5;1;I typically wear an xs to s in tops and purchased an xs for a less flowy fit.  this top has a luxurious feel and the green color is really beautiful (more matte than shiny).  perfect piece to wear under a jacket or blazer.
16127;43;Intimate;Intimates;807;0;5;1;Great piece just wish it fit a bit more blousy rather than cami
4067;44;Intimate;Intimates;1154;0;5;1;This bra is so well made and fits beautifully.
16966;39;Intimate;Intimates;1154;0;5;1;I guess this is a true to size, i am usually a 30dd and ordered 32d, fits great. the back is really pretty, so even though it is a tiny bit looser, i decided to keep it...
12446;39;Intimate;Intimates;1158;0;2;0;Fun, sexy underwear but rides up in the front. will return
