s.no;Random;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
6081;0,0453869088396177;36;Dresses;Dresses;1104;1;5;1;This dress hits flatters the whole body. love the three quarter sleeves, love the relaxed fit of the bottom half. love how it is fitted, body conscious around bust. super flattering. the teal color is particularly gorgeous. a color that would suit a lot of different skin tones. this is a no-brainer dress that you will reach for in your closet every single time.
19786;0,0454619402484992;37;Tops;Sweaters;952;0;5;1;Bought on a whim as a gift for my mom, fit perfectly and she loved the details. did not complain of itching as with prior review. it is more blue than gray appearing the photo.
15675;0,0455000529147036;51;Tops;Blouses;832;1;5;1;This top is super cute, nice and light for the hot weather, with a tts fit. the model is wearing a light-colored bra, so it shows through. but, with a black bra, there is no problem.
7551;0,045646583497452;57;Dresses;Dresses;1078;19;4;0;I was hoping this dress was a bit thicker, but when i tried it on the fabric was very thin and sheer. because of the body skimming design, this dress likely won't work on many without some serious spanx or body trimming hosiery. if you work out and are very fit, you might like it, but i don't so i'm not that brave! lol
10199;0,0457774051142762;48;Tops;Knits;872;9;5;1;"Just picked this up in my retailer store and i love it. i bought the orange print and the colors are vibrant and perfect for summer. i am 5'5"" and  140 lbs. i took a small which is my usual size at retailer. could be worn unbuttoned as a sleeveless cardi over a tank. i will wear a cami underneath as it is sheer, but that doesn't bother me. another shopper was trying this on in the fitting room and it looked great on both of us. i will wear this all summer long. looks great with denim. happy find!"
15798;0,0458247374995406;29;Dresses;Dresses;1110;2;3;0;I so wanted to love this dress, but the bell sleeves were enormous! if you're standing completely still with your arms down they look cool, but if you move your arms at all it looks like you have wings. the rest of the dress was beautiful, though, and a flattering swingy shape even on an hourglass/pear shaped figure. i would recommend sizing down, as the dress runs large.
17058;0,0458675812999676;27;Tops;Blouses;829;0;3;0;I liked the quality of the top and the design. but when i got a top that fit well across the chest, it was shorter than i usually like my tops, so i will be returning it.
15916;0,0459068444916542;49;Tops;Knits;862;12;5;1;I didn't pay much attention to this shirt on the website...when i was in the store yesterday though, i grabbed the green color because it's so pretty! i went back home to see which shirt this was on the website and was surprised. the picture here really doesn't do it justice. it's very soft, has a beautiful and flattering necklace and the flutter sleeves hang nicely rather than puffing out (like snow white...which isn't my goal!). also, because the sleeves drape nicely, you could wear it under s
4434;0,0460601720979167;40;Tops;Knits;872;0;5;1;This blouse is so much cuter in person! and it's more golden than yellow so it's not as bright which makes it easier for blondes to wear. i tried it on thinking i'd never be able to pull the color off but loved it enough to try, and wow so perfect! i had to get it and it was on sale. love this and happy to add it to my antro collection!
2284;0,046231487056675;46;Dresses;Dresses;1081;1;4;1;"First i think this dress runs a bit large - i am 5'5"" and about 140, athletic build. i tried on a l, m, s and ended up keeping the small. it is also a bit longer than i'd like, hits me in the mid-knee in the back hem, and barely above my knee on the front hem, not mid-thigh like on the tall model. i probably would have preferred a petite size but they were sold out. anyhow i decided to keep this dress because it is super comfortable but still stylish enough to wear to work. the slightly fitted a"
15822;0,0463225201366937;36;Tops;Blouses;850;0;2;0;I read the previous reviews and ordered down a size knowing that the shirt runs big.   i really wanted to love the shirt however it was a tent. with all of the extra material in the back, it billowed out in all the wrong places. the material is comfy and it's a very cute concept, just didn't work for me.
16838;0,0463326155236111;49;Tops;Knits;854;0;5;1;"Very pretty and delicate top. it is fresh and with a delicate embroidered ""bib"" style. the fabric on the front is silky and the back is a blend of silk and cotton, just that part (the back) could be a little thicker so more durability. still as it is, it's a niece piece and good quality.
i find it you can wear it with dress pants for office or formal gathering and to dress up jeans and either to leave it our or tuck in. since the bib is focal point you can skip any necklace and war dainty earrin"
3021;0,0463720050401725;50;Bottoms;Jeans;1022;4;5;1;I wear jeans so much, therefore i love to a variety in color. these jeans are so comfortable. they are like wearing sweat pants, but they truly keep their shape so well. i bought the red, which is a year around red, kind of a bright apple red. i will definitely be buying another pair of these ag jeans.
123;0,0464034848189565;42;Dresses;Dresses;1104;0;5;1;I didn't think it was that cute in the picture online but when i saw it in the store i was in love!  i am typically a medium and this was true with this.  i have a 34dd chest and you can wear a strapless easily with it and it doesn't show. i am going to wear it for a cocktail party but it would work with flip flops too.  just love it so happy i went into the store and saw it.
7885;0,0464604412686464;36;Intimate;Sleep;172;2;5;1;The pictures don't do this justice. it's so beautiful on. drapes incredibly. the cream color is a warm, creamy bright off white. looks really nice. incredibly comfortable. i could see this being an excellent item to wear on planes. super cozy and chic. a must have.
1539;0,0464829165270871;51;Jackets;Outerwear;1117;0;5;1;Love this piece. it is warm and attractive and will set any outfit off from a dress to jeans and a t-shirt. i look forward to wearing it often.
20000;0,0464908040906867;38;Tops;Knits;860;0;3;1;"This top came down to my hip bones, but i am short-waisted. the shirt definitely fits shorter than in the photo. the measurements listed for ""regular"" seem to be a bit shorter than the 26"" l measurement i got when i measured it. i think the quality is nice, and though it could likely easily snag if you're not one who is used to wearing delicate clothing, i didn't find this top to be flimsy at all. for reference i purchased a l and the fit is more form-fitting on me than it is on the model, but n"
19025;0,0465133491913161;56;Bottoms;Jeans;1028;6;3;1;I had high hopes for these as coh is my favorite brand of denim, and these crops were made specifically for petites. also, i was happy to see they were described as a straight jean, not a skinny. the fit and sizing seems to be a little off. i ordered my regular size in this brand, 27p, but they were too big. sized down to a 26p. they were still too large in the waist (seemed very stretchy) but fit well in the legs. i like the fact that these crops were made for petites so the length was perfect,
3336;0,046519855048673;43;Bottoms;Shorts;460;0;5;1;Love this romper. fits perfectly, and looks like the picture. i'm 5 ft 7, 125 lbs, and usually am a size 4 or small. i ordered a small, and it fits beautifully. i've worn this a lot this summer in florida, and am getting a lot of compliments. don't be put of by the long sleeves for summer wear- the romper is loose enough and has a nice flow to it.
13716;0,0466899498793326;43;Tops;Blouses;834;0;5;1;I got this shirt in red plaid and love it. super cute without being too trendy. i wore it with shorts and got lots of compliments.
6728;0,046711686193327;31;Dresses;Dresses;1111;0;5;1;"I am 6'2"" and athletically built, and i usually have issues with dresses being long enough for me, but this beauty has the perfect fit and perfect length. it is very flattering. the weight of the dress allows it to move with you. it is form-fitting, but loose at the same time, so your body doesn't look lost in the material. you can dress it up with heels, or wear it with boots or sandals to be a bit more casual."
240;0,0467136637438445;27;Bottoms;Skirts;1020;6;4;1;I also agree that this piece ran very small. my normal size did not zip up. i sized up a size, and it pulled across my thighs. i sized up two sizes, and it fit as i had hoped it would. if you get the right size, it is beautiful on. the colors are so fun, and i love the side slit. i bought it to wear to work with a blouse or blazer, and it is definitely a statement piece.
12808;0,0467269812225568;47;Tops;Blouses;824;0;4;1;This is a beautiful top.  the detail in the pattern of the fabric is gorgeous and the color goes great with jeans.  love the design of arm holes, they don't show your bra!  the only con is price, but it's a keeper.
