s.no;Random;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
3511;0,0000487263897869292;27;Dresses;Dresses;1083;0;2;0;"While i thought it looked really pretty on the hanger, when i tried it on it just felt like a mess. perhaps it suits other personalities and bodies. i hated that the zipper was in the front; i personally find it tacky and gawdy. while the patterns are pretty, the material felt like some weird fabric wallpaper and i didn't see how the price was justified with how the material felt cheap to me."
14793;0,0000757968840123133;42;Dresses;Dresses;1078;0;4;1;This dress makes me this of jackie kennedy on the beach in the summertime. i love the pattern and the pockets, oh my goodness the pockets! i saw this in the store and ordered one while i was there online because the ribbon on the zipper was frayed. well guess what we i got it in the mail at home the ribbon was also frayed. ugh. i kept it because it wasn't a huge deal breaker. the color is a little strange, not a true red more of a orangish red. i think it's super versatile and hopefully i will w
14729;0,000238563394195291;37;Bottoms;Skirts;1008;0;5;1;Buy this skit- it's everything that retailer used to be. great pice, work appopriate, and it fits great.
21099;0,000251345912418154;31;Dresses;Dresses;1078;1;3;1;Loved the style and color/design but this dress was simply too short in the front. the slip was also slightly tight over hips. i wish this was longer!
19191;0,000316150527406737;35;Bottoms;Pants;1054;0;5;1;I love this jumpsuit. it's unique, comfortable and fits true to size. you can dress it up or down depending on the event. every time i wear it i get loads of compliments!
13982;0,00040534444229557;45;Tops;Blouses;850;1;5;1;Love this top! wore with jeans, comes to about mid hip so good coverage. fit was perfect for me!
23062;0,00043084836902386;27;Dresses;Dresses;1078;1;4;1;I wear an xxs petite and this dress was still large. i like that look so i'm okay with that but the sides do stick out a little bit if you have a smaller frame.
21084;0,000619862577371582;41;Jackets;Outerwear;1115;1;4;1;"Really nice, substantial, fully lined sweater coat. i love the structured look and the faux-leather piping around the zipper and the pockets. quality seems to be very good. it runs true to size, maybe slightly on the small side (especially for larger hips/busts) so if you are in between sizes, go up. i chose small and it's just right; i wouldn't be able to zip around my hips with xsmall. besides the price, which is why i dropped one star, i cannot really find any fault in this sweater coat."
4391;0,000774577296617945;51;Tops;Blouses;831;1;4;1;I ordered the teal color - it is a beautiful color. the fit is a bit odd like one other person commented, but the pros outweigh the cons. i am thinking of ordering the other colors too.
6948;0,000792557554980551;39;Tops;Knits;860;0;2;0;I knew that the cut of this shirt was boxy, but this is huge.  i wear a l or xl at retailer, and i got the m/l and was swimming in this top.  sadly, this will be going back.
17129;0,000842453907265943;26;Intimate;Lounge;718;0;3;1;This top looks real cute on the model! wish it looked like that on me! way too big, so not flattering on my petite frame. sadly going back!
